State,Campaign name,Campaign ID,Campaign country,Status,Type,Targeting,Retailer,Portfolio name,Campaign bid strategy,Campaign start date,Campaign end date,Top-of-search bid adjustment,Campaign budget amount (converted),Campaign budget amount,Cost type,Impressions,CPM (converted),CPM,Clicks,Viewable CTR (vCTR),CTR,CPC (converted),CPC,Viewable CPM (vCPM) (converted),Viewable CPM (vCPM),Viewable distribution,Viewable impressions,Total cost (converted),Total cost,User reach,First quartile (video ad),Midpoint (video ad),Third quartile (video ad),Complete views (video ad),Unmutes (video ad),Detail page views,Detail page views (new to brand),Add to cart,Add to cart (new to brand),Branded searches,Branded searches (new to brand),Brand store page views,Brand store page views (new to brand),Purchases,Sales (converted),Sales,ACOS,ROAS,Purchases (new to brand),Sales (new to brand) (converted),Sales (new to brand),Percent of purchases new to brand,Percent of sales new to brand,Long-term sales (converted),Long-term sales,Long-term ROAS,KENP read,Estimated KENP royalties (USD),Campaign primary brand,Top-of-search impression share
ENABLED,EXACT | High Intent | Paperback | Sep 2026,A04369639ST88VUBQWW6,United States,Delivering,SP,MANUAL,Amazon,,Dynamic bidding (down only),09/21/2026,,0,$8.00,$8.00,CPC,0,,,0,0,0,,,,,0,0,$0.00,$0.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,0,0,,,0,0,,$0.00,0,0,0,,0
ENABLED,AUTO | Discovery | Paperback | Sep 2026,A00523531Y6DESE2X4Y7R,United States,Delivering,SP,AUTOMATIC,Amazon,,Dynamic bidding (down only),09/21/2026,,0,$8.00,$8.00,CPC,0,,,1,0,0.0006,$0.24,$0.24,,,0,0,$0.24,$0.24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,0,0,,,0,0,,$0.00,0,0,0,,0
ENDED,Guitar Sheet Music Book,A10273962TCMV4F4M7YAG,United States,Ended,SP,AUTOMATIC,Amazon,,Dynamic bidding (down only),12/22/2018,01/01/2019,0,$5.00,$5.00,CPC,0,,,0,0,0,,,,,0,0,$0.00,$0.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,0,0,,,0,0,,$0.00,0,0,0,,0
ENDED,Namaste Mood Journal,A0594927DKEZXA268OSC,United States,Ended,SP,AUTOMATIC,Amazon,,Dynamic bidding (down only),12/22/2018,01/01/2019,0,$5.00,$5.00,CPC,0,,,0,0,0,,,,,0,0,$0.00,$0.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,$0.00,0,0,0,,,0,0,,$0.00,0,0,0,,0
